,Date,High,Low,Close,Volume,VolumeT,Gaus
357,2016-07-26,19.0,19.0,19.0,1,600,18.766074658987854
358,2016-07-27,18.8,18.7,18.8,4,8900,18.764873541345764
359,2016-07-28,18.7,18.5,18.6,8,2120,18.774537577340993
360,2016-07-29,18.5,18.5,18.5,3,1280,18.793218277745993
361,2016-08-01,19.0,18.5,18.5,6,1188,18.81875581752181
362,2016-08-02,19.0,18.5,18.9,5,1066,18.84868078613594
363,2016-08-03,18.5,18.5,18.9,1,9,18.880347826381463
364,2016-08-05,19.0,18.8,19.0,69,44856,18.911030301361585
365,2016-08-08,19.0,18.8,19.0,10,19752,18.93816164085508
366,2016-08-09,19.0,18.7,18.9,9,13550,18.95956133336085
367,2016-08-10,19.7,18.8,19.5,54,159751,18.97375490033894
368,2016-08-11,19.7,19.7,19.5,3,12,18.98008540227763
369,2016-08-12,19.7,19.0,19.0,11,804,18.978734073191827
370,2016-08-15,19.4,19.0,19.0,21,12515,18.97066574893001
371,2016-08-16,19.0,19.0,19.0,1,1,18.957349105501347
372,2016-08-18,19.4,18.7,18.7,14,8305,18.94043560119062
373,2016-08-19,19.3,18.7,18.7,5,905,18.921389057157064
374,2016-08-22,19.1,18.7,18.7,9,4707,18.901318447756555
375,2016-08-23,19.0,18.8,19.0,12,1593,18.880787505918416
376,2016-08-24,19.1,18.9,19.0,20,30835,18.85990504644936
377,2016-08-25,19.1,18.7,19.0,3,1200,18.838410394716938
378,2016-08-26,19.0,18.7,18.8,7,12424,18.81595906224497
379,2016-08-29,19.0,18.7,18.8,24,14239,18.792301103786343
380,2016-08-30,19.0,19.0,18.8,3,54,18.7674640097741
381,2016-08-31,19.0,18.8,18.8,9,2125,18.741882387108568
382,2016-09-01,18.8,18.5,18.7,11,5340,18.71639045211756
383,2016-09-05,18.8,18.8,18.8,2,1150,18.69217343199034
384,2016-09-06,18.7,18.5,18.6,9,4295,18.670606554808302
385,2016-09-07,19.0,18.5,18.5,21,24757,18.653149015493298
386,2016-09-08,18.5,18.5,18.5,12,3081,18.641087238741978
387,2016-09-09,18.5,18.5,18.5,21,13829,18.635419144510387
388,2016-09-13,18.5,18.4,18.4,9,3631,18.63684305613763
389,2016-09-14,18.5,18.5,18.5,3,1500,18.645646546444265
390,2016-09-15,18.7,18.4,18.7,16,17099,18.661772681649946
391,2016-09-19,18.5,18.5,18.7,1,50,18.684935538209707
392,2016-09-20,18.6,18.5,18.5,6,10001,18.714681855794304
393,2016-09-21,18.9,18.5,18.9,10,5531,18.75050537025293
394,2016-09-22,18.8,18.6,18.6,9,28544,18.79185117658341
395,2016-09-23,19.0,18.9,19.0,3,10345,18.83812314066818
396,2016-09-26,18.9,18.7,18.7,5,150,18.888585251814
397,2016-09-27,18.7,18.7,18.7,3,581,18.94224465158807
398,2016-09-28,19.0,18.7,19.0,4,5100,18.997797274038682
399,2016-09-29,19.0,19.0,19.0,5,2200,19.053523394017194
400,2016-09-30,19.2,19.1,19.2,8,8773,19.1074747004729
401,2016-10-03,19.3,19.3,19.3,1,2000,19.15760241208057
402,2016-10-04,19.4,19.1,19.2,5,900,19.202080943691655
403,2016-10-05,19.1,18.7,19.0,8,7750,19.239644335163526
404,2016-10-06,20.3,18.8,20.0,36,32413,19.269963407695606
405,2016-10-07,20.7,19.9,20.0,22,26059,19.293825721267336
406,2016-10-10,19.3,19.3,19.3,1,900,19.313226003693686
